Müller, Hans, 67742 Lauterecken, 1
Petersen, Peter, 18439 Stralsund, 2
Johnson, Johnny, 88888 made up, 3
Millenium, Milly, 77777 made up too, 4
Müller, Jonas, 32323 Hansstadt, 5
Fujitsu, Tastatur, 42342 Japan, 6
Andersson, Anders, 32132 Schweden - ☀, 2
Bart, Bertram, 
12313 Wasweißich, 1 
Gerber, Gerda, 76535 Woanders, 3 
Klaussen, Klaus, 43246 Hierach, 2
Hans0006,Hansy006,76535 Hanssoy006,4

Hello,from Germany,76535 Hanssoy006,4

Hello,from Germany,76535 Hanssoy006,4

Hello,from Germany,76535 Hanssoy006,4

Test11,from Jordanien,Irbid,1

Lia,Moldova,Germany,1

Shakila,Afghan,Germany,4

Shakila,Afghan,Germany,4
